Author,Genres
Garth Nix,Fantasy
Rick Riordan,Fantasy
Jack Vance,Fantasy
Lloyd Alexander,Fantasy
Marion Zimmer Bradley,Fantasy
Libba Bray,Fantasy
Brandon Sanderson,Fantasy
Hannes Bok,Fantasy
Margaret Weis,Fantasy
David Drake,Fantasy
Tamora Pierce,Fantasy
Brent Weeks,Fantasy
Ursula K. Le Guin,Fantasy
Douglas Niles,Fantasy
Holly Black,Fantasy
Xu Zhonglin  Lu Xixing,Fantasy
Justine Larbalestier,Fantasy
Terry Brooks,Fantasy
Nnedi Okorafor,Fantasy
Katharine Kerr,Fantasy
Erin Hunter,Fantasy
Lawrence Watt-Evans,Fantasy
Jonathan Stroud,Fantasy
William Morris,Fantasy
Laurence Yep,Fantasy
Tamora Pierce,Fantasy
L. Sprague de CampLin Carter,Fantasy
Janny Wurts,Fantasy
Samit Basu,Fantasy
Edgar Rice Burroughs,Fantasy
J. G. Ballard,Fantasy
Terry Pratchett,Fantasy
Gillian Bradshaw,Fantasy
Marion Zimmer Bradley,Fantasy
Samit Basu,Fantasy
George R. R. Martin,Fantasy
Steven Erikson,Fantasy
Jack Snow,Fantasy
H. Rider Haggard,Fantasy
Elizabeth Goudge,Fantasy
Rob MacGregor,Fantasy
A. E. van Vogt,Fantasy
J.T. Holden,Fantasy
"David H. Keller, M.D.",Fantasy
Nancy Yi Fan,Fantasy
Piers Anthony,Fantasy
Juliet Marillier,Fantasy
Kate Constable,Fantasy
Lin Carter,Fantasy
David Gemmell,Fantasy
Robin Hobb,Fantasy
W. Michael Gear,Fantasy
Lian Hearn,Fantasy
Clare Bell,Fantasy
Fritz Leiber,Fantasy
Judith Moffett,Fantasy
Chris Pierson,Fantasy
Robert Jordan,Fantasy
Dan Gutman,Fantasy
Tim Powers,Fantasy
Raymond E. FeistWilliam R. Forstchen,Fantasy
Mel Odom,Fantasy
Margaret Weis,Fantasy
Tamora Pierce,Fantasy
Edgar Rice Burroughs,Fantasy
Joe Dever,Fantasy
"L. Sprague de Camp, Lin Carter and Björn Nyberg",Fantasy
C. J. Cherryh,Fantasy
Lord Dunsany,Fantasy
Emily Rodda,Fantasy
Leonard Carpenter,Fantasy
C. J. Cherryh,Fantasy
Jostein Gaarder,Fantasy
Erin Hunter,Fantasy
Shannon Hale,Fantasy
Juliet Marillier,Fantasy
Katherine Kurtz,Fantasy
Richard Baker,Fantasy
Michael Moorcock,Fantasy
H. G. Wells,Fantasy
T. H. White,Fantasy
Michelle Paver,Fantasy
Brent Weeks,Fantasy
Rick Riordan,Fantasy
Philip K. Dick,Fantasy
Garth Nix,Fantasy
Nathalie Mallet,Fantasy
Catherine Jinks,Fantasy
Piers Anthony,Fantasy
Isobelle Carmody,Fantasy
Poul Anderson,Fantasy
James Blish,Fantasy
Garth Nix,Fantasy
Fritz Leiber,Fantasy
Charles Stross,Fantasy
Julia Golding,Fantasy
Richard Adams,Fantasy
Jack L. Chalker,Fantasy
Robert Holdstock,Fantasy
Paul B. Thompson,Fantasy
